15. Round,,1,X,2,
Bayer Leverkusen - Ingolstadt,1:2,1.56,3.96,6.35,18.12.2016
Darmstadt - Bayern Munich,0:1,19.37,8.24,1.14,18.12.2016
1. FSV Mainz 05 - Hamburger SV,3:1,1.95,3.56,3.87,17.12.2016
FC Augsburg - B. Monchengladbach,1:0,3.03,3.19,2.45,17.12.2016
RB Leipzig - Hertha Berlin,2:0,1.62,3.91,5.72,17.12.2016
Schalke - SC Freiburg,1:1,1.62,4.04,5.44,17.12.2016
SV Werder Bremen - 1. FC Koln,1:1,2.66,3.33,2.67,17.12.2016
Wolfsburg - Eintracht Frankfurt,1:0,2.34,3.2,3.23,17.12.2016
Hoffenheim - Dortmund,2:2,3.99,4,1.82,16.12.2016
14. Round,,1,X,2,
B. Monchengladbach - 1. FSV Mainz 05,1:0,1.72,3.76,4.94,11.12.2016
Schalke - Bayer Leverkusen,0:1,2.67,3.36,2.65,11.12.2016
1. FC Koln - Dortmund,1:1,5.18,4.23,1.61,10.12.2016
Bayern Munich - Wolfsburg,5:0,1.13,8.83,19.63,10.12.2016
Hamburger SV - FC Augsburg,1:0,2.38,3.17,3.2,10.12.2016
Hertha Berlin - SV Werder Bremen,0:1,1.64,3.88,5.41,10.12.2016
Ingolstadt - RB Leipzig,1:0,4.46,3.62,1.82,10.12.2016
SC Freiburg - Darmstadt,1:0,1.78,3.61,4.77,10.12.2016
Eintracht Frankfurt - Hoffenheim,0:0,2.32,3.35,3.11,09.12.2016
13. Round,,1,X,2,
Darmstadt - Hamburger SV,0:2,2.78,3.14,2.68,04.12.2016
FC Augsburg - Eintracht Frankfurt,1:1,2.76,2.96,2.87,04.12.2016
Bayer Leverkusen - SC Freiburg,1:1,1.49,4.43,6.55,03.12.2016
Dortmund - B. Monchengladbach,4:1,1.46,4.69,6.55,03.12.2016
Hoffenheim - 1. FC Koln,4:0,2.03,3.57,3.6,03.12.2016
RB Leipzig - Schalke,2:1,1.92,3.44,4.16,03.12.2016
SV Werder Bremen - Ingolstadt,2:1,2.32,3.38,3.08,03.12.2016
Wolfsburg - Hertha Berlin,2:3,2.24,3.23,3.42,03.12.2016
1. FSV Mainz 05 - Bayern Munich,1:3,10.83,6.04,1.26,02.12.2016
12. Round,,1,X,2,
Hertha Berlin - 1. FSV Mainz 05,2:1,1.94,3.45,4.09,27.11.2016
Schalke - Darmstadt,3:1,1.36,4.76,9.6,27.11.2016
1. FC Koln - FC Augsburg,0:0,1.83,3.45,4.68,26.11.2016
Bayern Munich - Bayer Leverkusen,2:1,1.3,5.58,10.18,26.11.2016
B. Monchengladbach - Hoffenheim,1:1,1.88,3.79,3.9,26.11.2016
Eintracht Frankfurt - Dortmund,2:1,4.79,4.05,1.68,26.11.2016
Hamburger SV - SV Werder Bremen,2:2,2.37,3.45,2.96,26.11.2016
Ingolstadt - Wolfsburg,1:1,2.94,3.22,2.5,26.11.2016
SC Freiburg - RB Leipzig,1:4,3.84,3.56,1.96,25.11.2016
11. Round,,1,X,2,
Hoffenheim - Hamburger SV,2:2,1.48,4.48,6.58,20.11.2016
SV Werder Bremen - Eintracht Frankfurt,1:2,2.6,3.38,2.7,20.11.2016
1. FSV Mainz 05 - SC Freiburg,4:2,2.05,3.46,3.63,19.11.2016
B. Monchengladbach - 1. FC Koln,1:2,2.02,3.38,3.81,19.11.2016
Darmstadt - Ingolstadt,0:1,2.88,3.09,2.63,19.11.2016
Dortmund - Bayern Munich,1:0,3.38,3.45,2.15,19.11.2016
FC Augsburg - Hertha Berlin,0:0,2.59,3.08,2.94,19.11.2016
Wolfsburg - Schalke,0:1,2.43,3.28,2.99,19.11.2016
Bayer Leverkusen - RB Leipzig,2:3,2.3,3.32,3.18,18.11.2016
10. Round,,1,X,2,
RB Leipzig - 1. FSV Mainz 05,3:1,1.59,3.97,5.94,06.11.2016
Schalke - SV Werder Bremen,3:1,1.56,4.27,5.75,06.11.2016
Bayer Leverkusen - Darmstadt,3:2,1.35,4.92,9.34,05.11.2016
Bayern Munich - Hoffenheim,1:1,1.16,8.15,15.04,05.11.2016
Eintracht Frankfurt - 1. FC Koln,1:0,2.55,3.18,2.9,05.11.2016
Hamburger SV - Dortmund,2:5,6.66,4.52,1.47,05.11.2016
Ingolstadt - FC Augsburg,0:2,2.38,3.12,3.22,05.11.2016
SC Freiburg - Wolfsburg,0:3,2.51,3.31,2.83,05.11.2016
Hertha Berlin - B. Monchengladbach,3:0,2.77,3.18,2.68,04.11.2016
9. Round,,1,X,2,
1. FC Koln - Hamburger SV,3:0,1.62,3.93,5.59,30.10.2016
Hoffenheim - Hertha Berlin,1:0,2.03,3.52,3.66,30.10.2016
1. FSV Mainz 05 - Ingolstadt,2:0,2.12,3.27,3.63,29.10.2016
Darmstadt - RB Leipzig,0:2,5.37,3.78,1.66,29.10.2016
Dortmund - Schalke,0:0,1.59,4.26,5.4,29.10.2016
FC Augsburg - Bayern Munich,1:3,15.34,6.6,1.2,29.10.2016
SV Werder Bremen - SC Freiburg,1:3,2.23,3.47,3.15,29.10.2016
Wolfsburg - Bayer Leverkusen,1:2,2.64,3.39,2.64,29.10.2016
B. Monchengladbach - Eintracht Frankfurt,0:0,1.91,3.42,4.31,28.10.2016
8. Round,,1,X,2,
RB Leipzig - SV Werder Bremen,3:1,1.56,4.23,5.89,23.10.2016
Schalke - 1. FSV Mainz 05,3:0,1.93,3.56,3.98,23.10.2016
Bayer Leverkusen - Hoffenheim,0:3,1.58,4.25,5.5,22.10.2016
Bayern Munich - B. Monchengladbach,2:0,1.18,7.63,15.14,22.10.2016
Darmstadt - Wolfsburg,3:1,4.62,3.69,1.77,22.10.2016
Hertha Berlin - 1. FC Koln,2:1,2.65,3.12,2.82,22.10.2016
Ingolstadt - Dortmund,3:3,5.56,4.09,1.59,22.10.2016
SC Freiburg - FC Augsburg,2:1,2.14,3.26,3.59,22.10.2016
Hamburger SV - Eintracht Frankfurt,0:3,2.47,3.27,2.94,21.10.2016
7. Round,,1,X,2,
1. FSV Mainz 05 - Darmstadt,2:1,1.6,3.9,5.92,16.10.2016
Wolfsburg - RB Leipzig,0:1,2.39,3.3,3.04,16.10.2016
1. FC Koln - Ingolstadt,2:1,1.83,3.38,4.77,15.10.2016
B. Monchengladbach - Hamburger SV,0:0,1.67,3.93,5.02,15.10.2016
Eintracht Frankfurt - Bayern Munich,2:2,11.07,5.67,1.27,15.10.2016
FC Augsburg - Schalke,1:1,3.49,3.37,2.13,15.10.2016
Hoffenheim - SC Freiburg,2:1,2.02,3.59,3.59,15.10.2016
SV Werder Bremen - Bayer Leverkusen,2:1,4.86,4.23,1.65,15.10.2016
Dortmund - Hertha Berlin,1:1,1.4,5.02,7.39,14.10.2016
6. Round,,1,X,2,
Schalke - B. Monchengladbach,4:0,2.35,3.43,2.98,02.10.2016
Wolfsburg - 1. FSV Mainz 05,0:0,1.85,3.7,4.16,02.10.2016
Bayer Leverkusen - Dortmund,2:0,3.36,3.68,2.08,01.10.2016
Bayern Munich - 1. FC Koln,1:1,1.19,6.97,14.81,01.10.2016
Darmstadt - SV Werder Bremen,2:2,2.95,3.37,2.4,01.10.2016
Hertha Berlin - Hamburger SV,2:0,2.04,3.27,3.88,01.10.2016
Ingolstadt - Hoffenheim,1:2,2.1,3.37,3.58,01.10.2016
SC Freiburg - Eintracht Frankfurt,1:0,2.34,3.35,3.06,01.10.2016
RB Leipzig - FC Augsburg,2:1,1.73,3.65,5.07,30.09.2016
5. Round,,1,X,2,
1. FC Koln - RB Leipzig,1:1,2.34,3.28,3.14,25.09.2016
Hoffenheim - Schalke,2:1,2.83,3.64,2.37,25.09.2016
1. FSV Mainz 05 - Bayer Leverkusen,2:3,3.19,3.48,2.21,24.09.2016
B. Monchengladbach - Ingolstadt,2:0,1.91,3.41,4.21,24.09.2016
Eintracht Frankfurt - Hertha Berlin,3:3,2.34,3.17,3.22,24.09.2016
FC Augsburg - Darmstadt,1:0,1.64,3.76,5.66,24.09.2016
Hamburger SV - Bayern Munich,0:1,14.64,6.7,1.2,24.09.2016
SV Werder Bremen - Wolfsburg,2:1,3.85,3.77,1.9,24.09.2016
Dortmund - SC Freiburg,3:1,1.19,7.18,13.82,23.09.2016
4. Round,,1,X,2,
Bayer Leverkusen - FC Augsburg,0:0,1.45,4.56,6.8,21.09.2016
Bayern Munich - Hertha Berlin,3:0,1.14,8.23,21.14,21.09.2016
RB Leipzig - B. Monchengladbach,1:1,2.18,3.47,3.26,21.09.2016
Schalke - 1. FC Koln,1:3,2.2,3.32,3.36,21.09.2016
SV Werder Bremen - 1. FSV Mainz 05,1:2,3.08,3.54,2.24,21.09.2016
Darmstadt - Hoffenheim,1:1,3.62,3.68,1.98,20.09.2016
Ingolstadt - Eintracht Frankfurt,0:2,2.03,3.34,3.85,20.09.2016
SC Freiburg - Hamburger SV,1:0,2.14,3.46,3.39,20.09.2016
Wolfsburg - Dortmund,1:5,4.5,3.94,1.74,20.09.2016
3. Round,,1,X,2,
FC Augsburg - 1. FSV Mainz 05,1:3,2.33,3.35,3.08,18.09.2016
Hertha Berlin - Schalke,2:0,2.67,3.29,2.68,18.09.2016
Bayern Munich - Ingolstadt,3:1,1.13,8.54,21.42,17.09.2016
B. Monchengladbach - SV Werder Bremen,4:1,1.43,4.84,6.81,17.09.2016
Dortmund - Darmstadt,6:0,1.14,8.21,18.32,17.09.2016
Eintracht Frankfurt - Bayer Leverkusen,2:1,3.71,3.53,1.99,17.09.2016
Hamburger SV - RB Leipzig,0:4,2.67,3.28,2.68,17.09.2016
Hoffenheim - Wolfsburg,0:0,2.73,3.55,2.46,17.09.2016
1. FC Koln - SC Freiburg,3:0,1.76,3.72,4.72,16.09.2016
2. Round,,1,X,2,
1. FSV Mainz 05 - Hoffenheim,4:4,2.01,3.58,3.64,11.09.2016
SV Werder Bremen - FC Augsburg,1:2,2.38,3.43,2.94,11.09.2016
Bayer Leverkusen - Hamburger SV,3:1,1.52,4.25,6.25,10.09.2016
Darmstadt - Eintracht Frankfurt,1:0,3.25,3.28,2.27,10.09.2016
Ingolstadt - Hertha Berlin,0:2,2.34,3.1,3.3,10.09.2016
RB Leipzig - Dortmund,1:0,5.55,4.19,1.59,10.09.2016
SC Freiburg - B. Monchengladbach,3:1,3.62,3.63,2,10.09.2016
Wolfsburg - 1. FC Koln,0:0,1.78,3.72,4.49,10.09.2016
Schalke - Bayern Munich,0:2,10.23,5.61,1.29,09.09.2016
1. Round,,1,X,2,
Hertha Berlin - SC Freiburg,2:1,1.96,3.43,3.99,28.08.2016
Hoffenheim - RB Leipzig,2:2,2.4,3.37,2.95,28.08.2016
1. FC Koln - Darmstadt,2:0,1.54,3.98,6.59,27.08.2016
B. Monchengladbach - Bayer Leverkusen,2:1,2.43,3.43,2.86,27.08.2016
Dortmund - 1. FSV Mainz 05,2:1,1.28,5.86,9.89,27.08.2016
Eintracht Frankfurt - Schalke,1:0,3.26,3.43,2.2,27.08.2016
FC Augsburg - Wolfsburg,0:2,2.84,3.29,2.51,27.08.2016
Hamburger SV - Ingolstadt,1:1,2.33,3.18,3.22,27.08.2016
Bayern Munich - SV Werder Bremen,6:0,1.08,11.28,28.21,26.08.2016